City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Lima,PE,-12.0432,-77.0282,75.38,77,0,1.99,clear sky
239,Zarate,AR,-34.0981,-59.0286,83.82,59,100,5.99,overcast clouds
240,Pacific Grove,US,36.6177,-121.9166,65.57,53,0,4.0,clear sky
241,San Carlos,VE,9.6612,-68.5827,89.15,40,89,1.23,overcast clouds
242,Walvis Bay,NA,-22.9575,14.5053,67.08,78,8,11.05,clear sky
243,Acapulco,MX,16.8634,-99.8901,84.02,65,20,6.91,few clouds
244,Lejanias,CO,3.5251,-74.0216,83.12,56,99,5.93,overcast clouds
245,Sarankhola,BD,22.3082,89.7897,64.54,92,100,2.75,overcast clouds
246,Svetlaya,RU,46.5389,138.3297,7.03,71,100,9.46,overcast clouds
247,Aklavik,CA,68.2191,-135.0107,-21.17,68,20,8.05,few clouds
248,Nyurba,RU,63.2842,118.3319,-27.26,99,40,2.8,scattered clouds
249,Nishihara,JP,26.1842,127.7558,58.68,67,100,19.57,overcast clouds
250,Souillac,MU,-20.5167,57.5167,80.98,89,75,16.11,light rain
251,Inuvik,CA,68.3499,-133.7218,-29.58,97,7,8.81,clear sky
252,Burlatskoye,RU,45.0564,43.635,34.48,98,100,12.1,snow
253,Maputo,MZ,-25.9653,32.5892,78.48,83,75,13.8,drizzle
254,Kyzyl-Suu,KG,42.3414,78.0056,13.35,63,34,12.03,scattered clouds
255,Kurri Kurri,AU,-32.8167,151.4833,69.4,71,74,5.64,broken clouds
256,Asau,RO,46.4333,26.4,35.4,83,38,5.91,scattered clouds
257,Imeni Zhelyabova,RU,58.9544,36.5956,-1.48,100,100,1.5,overcast clouds
258,Deniliquin,AU,-35.5333,144.9667,61.0,52,6,8.08,clear sky
259,Kachug,RU,53.9606,105.8817,-0.45,99,100,1.45,overcast clouds
260,Lichinga,MZ,-13.3128,35.2406,64.49,100,75,16.11,broken clouds
261,Tamiahua,MX,21.2667,-97.45,49.75,78,100,19.19,overcast clouds
262,Santa Fe,AR,-31.6333,-60.7,83.01,56,100,4.0,light rain
263,Muyezerskiy,RU,63.9333,31.65,12.16,90,100,13.0,overcast clouds
264,Balabac,PH,7.9868,117.0645,79.48,82,74,20.11,heavy intensity rain
265,Waiuku,NZ,-37.25,174.75,73.33,84,100,8.75,overcast clouds
266,Sorong,ID,-0.8833,131.25,80.69,80,99,10.8,overcast clouds
267,Paka,MY,4.6374,103.4368,80.53,83,100,11.5,overcast clouds
268,Vesyegonsk,RU,58.664,37.2604,-0.33,100,87,1.19,overcast clouds
269,Codrington,AU,-38.2667,141.9667,55.2,89,91,9.53,overcast clouds
270,Kaitangata,NZ,-46.2817,169.8464,51.93,67,60,4.74,broken clouds
271,Beaverlodge,CA,55.2166,-119.4361,7.95,95,100,4.76,overcast clouds
272,Bam,IR,29.106,58.357,58.32,24,0,2.46,clear sky
273,Meulaboh,ID,4.1363,96.1285,76.68,87,100,4.14,overcast clouds
274,Woodward,US,36.4337,-99.3904,31.96,45,0,10.36,clear sky
275,Barnstaple,GB,51.0802,-4.0581,46.2,74,100,20.4,overcast clouds
276,Mitsamiouli,KM,-11.3847,43.2844,81.54,81,86,10.74,light rain
277,Alice Springs,AU,-23.7,133.8833,54.95,94,2,0.0,clear sky
278,Grand Gaube,MU,-20.0064,57.6608,81.0,82,100,8.99,overcast clouds
279,Adoni,IN,15.6333,77.2833,71.29,30,88,6.64,overcast clouds
280,Champagnole,FR,46.7445,5.9135,44.51,91,100,6.85,overcast clouds
281,Belinskiy,RU,52.9647,43.4165,18.97,93,99,11.34,overcast clouds
282,Ballachulish,GB,56.6774,-5.1308,42.89,88,71,18.66,broken clouds
283,Kijang,KR,35.2442,129.2139,26.33,54,6,13.11,clear sky
284,Baculin,PH,7.4525,126.5842,76.01,85,99,8.68,overcast clouds
285,Zhanaozen,KZ,43.3,52.8,41.86,77,85,8.03,overcast clouds
286,Port Moresby,PG,-9.4431,147.1797,75.94,87,100,9.08,overcast clouds
287,Talara,PE,-4.5772,-81.2719,81.36,57,0,17.27,clear sky
288,Vestmannaeyjar,IS,63.4427,-20.2734,27.81,70,100,6.71,overcast clouds
289,Xichang,CN,27.8964,102.2634,40.48,83,1,1.92,clear sky
290,Nekrasovka,RU,48.3525,135.2325,-18.38,76,0,0.0,clear sky
291,Amazar,RU,53.858,120.875,1.78,79,100,5.37,overcast clouds
292,Tabas,IR,33.5959,56.9244,56.57,25,90,3.85,overcast clouds
293,Longonjo,AO,-12.9067,15.2533,64.02,88,90,0.85,overcast clouds
294,Oystese,NO,60.3882,6.1925,40.05,97,100,12.97,overcast clouds
295,Nianzishan,CN,47.5167,122.8833,-1.34,74,54,6.02,broken clouds
296,Benguela,AO,-12.5763,13.4055,75.7,72,84,5.93,broken clouds
297,Oranjemund,NA,-28.55,16.4333,64.63,80,13,13.38,few clouds
298,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,40,3.44,scattered clouds
299,Nome,US,64.5011,-165.4064,7.16,56,0,13.8,clear sky
300,Cuamba,MZ,-14.8031,36.5372,70.14,94,24,3.06,light rain
301,Sisimiut,GL,66.9395,-53.6735,7.47,85,100,24.72,overcast clouds
302,Carutapera,BR,-1.195,-46.02,80.87,80,100,7.72,overcast clouds
303,Auki,SB,-8.7676,160.7034,78.44,88,100,5.03,overcast clouds
304,Broken Hill,AU,-31.95,141.4333,66.13,43,100,12.8,overcast clouds
305,Beringovskiy,RU,63.05,179.3167,-9.96,90,94,13.87,overcast clouds
306,Vardo,NO,70.3705,31.1107,16.0,73,100,26.06,overcast clouds
307,Cornereva,RO,45.0667,22.4167,29.41,73,24,2.35,few clouds
308,Aanekoski,FI,62.6946,25.818,21.27,100,100,16.75,light snow
309,Barra Do Corda,BR,-5.5,-45.25,83.71,78,100,2.62,overcast clouds
310,Minna,NG,9.6139,6.5569,83.66,14,0,4.32,clear sky
311,Nelson,NZ,-41.2833,173.2833,63.28,92,100,8.99,overcast clouds
